mfg,loc,cap,oem,cat,reg,lat,lon
Hyosung HICO,"Memphis, TN [USA]","765 kV / 2250 MVA",International,Transformer,North America,35.07,-90.10
Hyundai Electric,"Montgomery, AL [USA]","800 kV / 21k MVA-yr",International,Transformer,North America,32.26,-86.37
Hitachi Energy,"Varennes, QC [CAN]","765 kV / EHV Power",Global,Transformer,North America,45.68,-73.43
Hitachi Energy,"South Boston, VA [USA]","765 kV / 800+ MVA",Global,Transformer,North America,36.67,-78.92
PTTI (PA Transformer),"Canonsburg, PA [USA]","765 kV / 750 MVA",Regional,Transformer,North America,40.26,-80.19
Prolec GE,"Waukesha, WI [USA]","345 kV / 1200 MVA",Global,Transformer,North America,43.00,-88.24
Virginia Transformer,"Roanoke, VA [USA]","525 kV / 1400 MVA-yr",Regional,Transformer,North America,37.27,-79.94
Virginia Transformer,"Rincon, GA [USA]","525 kV / 500 MVA",Regional,Transformer,North America,32.29,-81.23
Virginia Transformer,"Pocatello, ID [USA]","345 kV / 200 MVA",Regional,Transformer,North America,42.87,-112.44
Virginia Transformer,"Chihuahua [MEX]","230 kV / 200 MVA",Regional,Transformer,North America,28.63,-106.06
PTI Transformers,"Winnipeg (Rockman), MB","525 kV / 600 MVA",Regional,Transformer,North America,49.85,-97.14
PTI Transformers,"Winnipeg (Service), MB","138 kV / Repair",Regional,Transformer,North America,49.92,-97.10
Mitsubishi (MEPPI),"Warrendale, PA [USA]","800 kV / GCB-GIS",International,Breaker,North America,40.67,-80.11
GE Vernova,"Charleroi, PA [USA]","550 kV / Dead Tank",Global,Breaker,North America,40.13,-79.90
Siemens Energy,"Richland, MS [USA]","550 kV / Blue GIS",Global,Breaker,North America,32.22,-90.17
Hitachi Energy,"Mt. Pleasant, PA [USA]","420 kV / EconiQ DTB",Global,Breaker,North America,40.15,-79.54
Howard Industries,"Laurel, MS [USA]","HV / 100+ MVA",Regional,Transformer,North America,31.69,-89.13
WEG (Voltran),"Huehuetoca [MEX]","500 kV / 300+ MVA",Regional,Transformer,North America,19.83,-99.20
Delta Star,"Lynchburg, VA [USA]","230 kV / 150 MVA",Regional,Transformer,North America,37.41,-79.14
Delta Star,"San Carlos, CA [USA]","230 kV / 100 MVA",Regional,Transformer,North America,37.50,-122.25
Niagara Power,"Buffalo, NY [USA]","138 kV / 50 MVA",Regional,Transformer,North America,42.88,-78.87
Northern Transformer,"Vaughan, ON [CAN]","230 kV / 200 MVA",Regional,Transformer,North America,43.83,-79.50
PTI Transformers,"Regina, SK [CAN]","230 kV / 40 MVA",Regional,Transformer,North America,50.44,-104.61
Hitachi Energy,"Jefferson City, MO [USA]","161 kV / HV Sub",Global,Transformer,North America,38.57,-92.17
Hitachi Energy,"San Luis Potosí [MEX]","500 kV / 300+ MVA",Global,Transformer,North America,22.15,-100.98
Prolec GE,"Goldsboro, NC [USA]","230 kV / 112 MVA",Global,Transformer,North America,35.38,-77.99
Prolec GE,"Monterrey, NL [MEX]","500 kV / 300+ MVA",Global,Transformer,North America,25.68,-100.31
Ayr Partner (BHEL),"Prayagraj [IN]","1200 kV / Ultra HV",International,Transformer,International,25.43,81.84
Ayr Partner (T&R),"Ahmedabad [IN]","765 kV / EHV Power",International,Transformer,International,23.02,72.57
Ayr Partner (Voltamp),"Vadodara [IN]","500 kV / 500 MVA",International,Transformer,International,22.30,73.18
Ayr Partner (CGL),"Mumbai [IN]","765 kV / Switchgear",International,Breaker,International,19.07,72.87
Zetwerk Mfg,"Hosur [IN]","400 kV / 315 MVA",International,Transformer,International,12.74,77.82
